species,initial_N,initial_C,initial_P,LDMC,initial_lignin,initial_tannin
A,1.1,45.57,2.5986,0.380109246,21.15,10.33
B,0.88,48.95,1.1558,0.501783759,34.7,7.19
C,0.83,40.55,0.9538,0.551722947,25.9,5.77
D,0.66,51.15,0.2728,0.684240582,31.15,2.6
E,0.75,46.45,1.0496,0.389699402,39.4,2.34
